,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
3,1104,環泥,"202,209",146,"4,612,469",22.80,22.90,22.75,22.85,,0.0,22.80,26,22.85,18,9.89,
5,1109,信大,"63,112",43,"869,184",13.80,13.85,13.70,13.80,-,0.1,13.75,7,13.85,1,14.38,
6,1110,東泥,"485,000",32,"6,790,400",14.00,14.05,14.00,14.00,-,0.05,14.00,31,14.05,9,0.00,
7,1201,味全,"1,319,243",612,"30,894,701",23.40,23.65,23.10,23.50,-,0.1,23.45,16,23.50,7,0.00,
8,1203,味王,"58,961",49,"1,566,608",26.20,26.85,26.20,26.75,+,0.35,26.70,3,26.80,1,13.31,
9,1210,大成,"644,641",436,"21,881,063",33.90,34.15,33.80,34.00,-,0.2,34.00,13,34.05,3,11.64,
11,1215,卜蜂,"721,641",488,"47,524,963",65.40,66.20,65.10,66.10,+,0.5,66.00,112,66.10,17,12.13,
19,1229,聯華,"3,603,468","2,372","134,529,094",37.00,38.10,36.85,37.75,+,0.35,37.75,42,37.85,1,12.88,
20,1231,聯華食,"136,220",103,"4,661,251",34.40,34.40,34.05,34.30,-,0.15,34.30,9,34.35,1,12.80,
24,1235,興泰,"64,102",48,"2,171,982",34.70,34.70,33.70,34.10,-,0.6,34.10,1,34.70,11,7.71,
27,1262,綠悅-KY,"1,802,765","1,221","111,493,338",59.80,63.40,59.40,62.80,+,3.0,62.70,1,62.80,56,7.93,
28,1301,台塑,"9,843,041","3,194","1,014,482,303",101.50,104.50,100.50,103.50,+,0.5,103.50,136,104.00,233,13.56,
29,1303,南亞,"9,607,516","2,471","771,053,195",80.30,81.30,79.80,80.10,-,0.9,80.10,"1,333",80.50,1,10.05,
31,1305,華夏,"3,214,550","1,557","106,896,696",33.05,34.25,32.55,33.65,,0.0,33.60,6,33.65,19,11.18,
32,1307,三芳,"116,500",63,"3,895,499",33.60,33.60,33.40,33.50,-,0.1,33.50,2,33.80,3,12.14,
33,1308,亞聚,"322,429",157,"5,995,424",18.60,18.65,18.50,18.60,-,0.1,18.55,182,18.60,6,13.88,
34,1309,台達化,"3,710,253","1,239","50,212,696",13.55,13.85,13.25,13.85,,0.0,13.80,50,13.85,105,12.59,
35,1310,台苯,"1,926,046",877,"40,883,272",21.20,21.40,21.05,21.35,,0.0,21.30,127,21.35,37,8.75,
36,1312,國喬,"11,176,072","4,839","320,528,560",28.85,28.95,28.45,28.75,-,0.6,28.75,107,28.80,14,8.46,
37,1312A,國喬特,"3,000",2,"99,900",33.30,33.30,33.30,33.30,-,0.1,33.00,10,33.40,4,0.00,
38,1313,聯成,"3,337,600","1,184","61,045,429",18.40,18.40,18.15,18.40,-,0.1,18.35,103,18.40,12,9.20,
39,1314,中石化,"47,393,791","8,956","707,495,820",14.90,15.25,14.70,15.25,+,0.15,15.25,304,15.30,"1,525",8.57,
41,1316,上曜,"343,676",152,"8,034,417",23.60,23.60,23.30,23.40,-,0.25,23.40,19,23.45,13,0.00,
42,1319,東陽,"2,283,005","1,496","121,644,461",52.80,53.90,52.70,53.70,+,1.0,53.70,21,53.80,5,13.13,
43,1321,大洋,"126,000",47,"3,680,450",29.15,29.35,29.10,29.25,,0.0,29.20,18,29.30,1,0.00,
44,1323,永裕,"185,352",141,"6,671,012",36.05,36.45,35.65,36.40,+,0.25,36.30,3,36.40,4,13.33,
45,1324,地球,"52,013",17,"651,659",12.60,12.60,12.50,12.50,,0.0,12.50,16,12.60,15,12.50,
47,1326,台化,"7,132,200","2,793","774,339,800",108.50,110.00,107.00,109.00,-,0.5,109.00,103,109.50,70,13.51,
49,1338,廣華-KY,"204,124",162,"22,882,388",111.50,113.00,111.50,112.00,,0.0,112.00,5,112.50,11,12.36,
50,1339,昭輝,"62,001",41,"2,631,242",42.85,42.85,42.30,42.50,+,0.05,42.45,1,42.50,4,8.27,
51,1340,勝悅-KY,"336,310",231,"15,471,910",46.00,46.20,45.90,46.00,-,0.1,46.00,31,46.10,1,7.23,
58,1417,嘉裕,"142,354",74,"681,722",4.82,4.84,4.76,4.81,-,0.04,4.81,1,4.82,2,0.00,
59,1418,東華,"1,299",19,"11,135",--,--,--,--,,0.0,8.62,2,9.06,2,0.00,
62,1432,大魯閣,"65,705",30,"862,306",13.45,13.45,13.00,13.30,+,0.05,13.15,4,13.30,3,0.00,
63,1434,福懋,"1,061,554",778,"34,331,766",32.15,32.60,32.00,32.45,-,0.05,32.45,1,32.55,32,12.93,
66,1437,勤益控,"87,362",41,"1,554,725",17.85,17.90,17.75,17.80,-,0.05,17.80,5,17.85,6,11.79,
67,1438,裕豐,"20,333",3,"104,684",5.15,5.15,5.15,5.15,+,0.07,5.15,8,5.19,1,0.00,
70,1441,大東,"173,282",62,"1,357,343",7.92,7.92,7.72,7.72,-,0.2,7.74,3,7.82,2,0.00,
71,1442,名軒,"108,080",57,"2,010,743",18.60,18.70,18.55,18.65,-,0.05,18.65,2,18.70,9,11.88,
